0	名称	领接地图	城市规模	初始阵营	攻打条件	基础统御	战胜奖励	守城奖励	初始发展	初始农业	初始商业	初始技术	初始城防	初始治安	初始金钱	初始人口	初始军粮
1	武威	2;14	1	2	0	1000	15718	15719	74	3375	2625	1000	213	187	42	271	105
2	天水	1;3;5;19	1	2	0	1000	15718	15719	82	2200	1035	1950	289	277	33	412	98
3	汉中	2;5;6;4;19;20	0	2	1;2;4;5;6;7;8;9;10;11;12;13	1000	15718	15719	237	2050	1000	2655	337	193	120	798	268
4	上庸	3;6;7;20;23;24	2	2	0	1000	15718	15719	105	900	2050	2050	325	289	62	514	93
5	成都	2;3;6;11;13	3	2	0	1000	15718	15719	154	2805	2625	2250	101	210	105	482	214
6	江州	3;4;5;7;10;13;35	2	2	0	1000	15718	15719	114	1750	3075	3255	95	213	89	340	144
7	永安	4;6;8;9;10;24	1	2	0	1000	15718	15719	92	2250	2130	925	265	300	47	441	98
8	江陵	7;9;24;25;31;32	3	2	0	1000	15718	15719	140	1125	2130	1850	300	265	86	606	146
9	武陵	7;8;10;31	2	2	0	1000	15718	15719	120	2955	2230	2925	175	105	81	346	181
10	零陵	6;7;9;31;35;36;37	1	2	0	1000	15718	15719	101	2000	935	3345	185	307	52	418	133
11	永昌	5;12;13	1	2	0	1000	15718	15719	89	2955	2775	2100	111	185	63	257	130
12	云南	11;13;35	2	2	0	1000	15718	15719	112	3225	2955	2150	190	91	79	317	166
13	建宁	5;6;11;12;35	1	2	0	1000	15718	15719	80	2250	2700	2775	103	203	60	234	109
14	北平	1;15;16;17;39	1	1	0	1000	15718	15719	77	1850	3255	3075	213	90	65	212	94
15	邺	14;16;21;22	2	1	0	1000	15718	15719	105	2625	965	3150	205	217	55	391	156
16	濮阳	14;15;17;22;26;27	2	1	0	1000	15718	15719	113	1035	1930	2200	307	262	68	519	112
17	北海	14;16;18;27;28	1	1	0	1000	15718	15719	85	3255	2895	1850	210	97	58	244	127
18	下邳	17;28;29;30	2	1	0	1000	15718	15719	120	2230	1950	900	322	280	63	556	133
19	安定	2;3;20;21	1	1	0	1000	15718	15719	93	2170	1000	2925	175	319	46	399	124
20	长安	3;4;19;21;23	3	1	0	1000	15718	15719	160	975	1950	3300	274	207	106	610	186
21	洛阳	15;19;20;22;23	3	1	0	1000	15718	15719	138	2805	3375	915	200	205	94	485	173
22	许昌	15;16;21;23;24;25;26	0	1	14;15;16;17;18;19;20;21;23;24;25;26	1000	15718	15719	237	1770	2925	2925	213	110	147	660	264
23	宛	4;20;21;22;24	1	1	0	1000	15718	15719	96	1950	1950	1100	310	274	50	474	100
24	襄阳	4;7;8;22;23;25	2	1	0	1000	15718	15719	109	3075	3000	1930	112	177	77	317	157
25	江夏	8;22;24;26;32;33	1	1	0	1000	15718	15719	87	1970	1100	2130	262	292	39	424	102
26	汝南	16;22;25;27;33	1	1	0	1000	15718	15719	80	2850	3255	2050	183	102	62	215	113
27	寿春	16;17;26;28;33	2	3	0	1000	15718	15719	106	1750	1125	2100	280	304	52	504	120
28	合肥	17;18;27;29;33	1	3	0	1000	15718	15719	79	1950	1870	915	315	337	34	449	70
29	建业	18;28;30;33;34;38	0	3	27;28;30;31;32;33;34;35;36;37;38;39	1000	15718	15719	237	1970	2050	2775	330	96	134	729	267
30	吴	18;29;34	3	3	0	1000	15718	15719	146	925	2100	1970	322	289	93	667	154
31	长沙	8;9;10;32;36	2	3	0	1000	15718	15719	117	2130	935	1750	307	330	53	569	138
32	柴桑	8;25;31;33;36;38	3	3	0	1000	15718	15719	145	1015	2700	2805	205	225	103	531	162
33	庐江	25;26;27;28;29;32;38	2	3	0	1000	15718	15719	118	3300	925	2655	213	205	60	428	183
34	会稽	29;30;38;39	2	3	0	1000	15718	15719	109	2745	3300	2050	205	93	81	318	148
35	交趾	6;10;12;13;37	1	3	0	1000	15718	15719	85	1900	1035	2625	223	307	40	398	103
36	桂阳	10;31;32;37;38	1	3	0	1000	15718	15719	96	3000	3255	975	205	183	64	333	123
37	南海	10;35;36	1	3	0	1000	15718	15719	95	1125	2655	3075	200	193	71	342	103
38	建安	29;32;33;34;36;39	1	3	0	1000	15718	15719	89	3345	2805	875	205	210	53	326	120
39	夷洲	14;34;38	1	3	0	1000	15718	15719	78	2895	3300	2070	102	175	61	204	112
